K249,A, ,4-b,4-h, ,,,,,,,,
K361,C, ,9-b, , ,,,,,,,,
K627,None, ,7-b,2-h, ,,,,,,,,
K628,None, ,8-b, , ,,,,,,,,
K676,None, ,5-b,4-h, ,,,,,,,,
K677,None, ,6-b,2-h, ,,,,,,,,
M036,None, ,5-b,4-h, ,,,,,,,,
M112,A, ,2-b,5-h, ,,,,,,,,
M178,B, , ,7-h,1-wh,,,,,,,,
M185,C, ,6-b,3-h, ,,,,,,,,
Q007,B,5-a, ,3-h, ,,,,,,,,
Q028,B, , ,9-h, ,,,,,,,,
Q130,A,5-a, ,1-h,2-wh,,,,,,,,
Q182,C,3-a,1-b,4-h, ,,,,,,,,
Q222,B,1-a, ,7-h, ,,,,,,,,
Q228,A, , ,8-h, ,,,,,,,,
Q242,A,7-a, ,1-h, ,,,,,,,,
Q244,None,8-a, ,1-h, ,,,,,,,,
Q251,B, ,9-b, , ,,,,,,,,
Q305,C, , ,7-h,1-wh,,,,,,,,
Q306,A,1-a, ,6-h, ,,,,,,,,
Q307,B, , ,9-h, ,,,,,,,,
Q317,None, ,3-b,4-h,1-wh,,,,,,,,
R065,B, ,3-b,2-h,3-wh,,,,,,,,
X023,B, ,3-b,6-h, ,,,,,,,,
X088,B, ,3-b,6-h, ,,,,,,,,
X170,B, ,2-b,7-h, ,,,,,,,,
X207,C, , ,8-h, ,,,,,,,,
X209,B, ,1-b,8-h, ,,,,,,,,
X236,C, ,2-b,7-h, ,,,,,,,,
X333,None, ,2-b,7-h, ,,,,,,,,
X382,None, ,2-b,7-h, ,,,,,,,,
X386,None, ,1-b,7-h, ,,,,,,,,
X443,D, ,2-b,6-h, ,,,,,,,,
X457,C, ,4-b,5-h, ,,,,,,,,
X463,F, ,3-b,5-h, ,,,,,,,,
K001,B, , ,9-h, ,,,,,,,,
K002,B, ,8-b, , ,,,,,,,,
K003,C, ,7-b, , ,,,,,,,,
K005,C, ,7-b,1-h, ,,,,,,,,
K006,B, ,7-b,2-h, ,,,,,,,,
K007,A, ,1-b,7-h, ,,,,,,,,
K008,C, ,1-b,1-h,6-wh,,,,,,,,
K009,C, ,5-b,1-h,1-wh,,,,,,,,
K010,B, ,1-b,3-h,4-wh,,,,,,,,
K011,B, ,7-b, , ,,,,,,,,
K012,C, ,8-b,1-h, ,,,,,,,,
K013,C, ,7-b,2-h, ,,,,,,,,
K014,A,1-a,6-b,1-h,1-wh,,,,,,,,
K015,B, ,3-b,5-h,1-wh,,,,,,,,
K016,C, ,2-b,6-h, ,,,,,,,,
K017,C, , ,8-h, ,,,,,,,,
K018,C, ,1-b,8-h, ,,,,,,,,
K019,F, , ,9-h, ,,,,,,,,
K020,B, ,6-b,2-h,1-wh,,,,,,,,
K021,A, ,9-b, , ,,,,,,,,
K022,F, ,6-b,2-h, ,,,,,,,,
K023,B, ,6-b,3-h, ,,,,,,,,
K024,B, , ,9-h, ,,,,,,,,
K025,C, ,7-b,1-h, ,,,,,,,,
K026,A, ,6-b,2-h, ,,,,,,,,
K028,D, ,7-b,1-h, ,,,,,,,,
K029,C, , ,1-h,6-wh,,,,,,,,
K030,B,1-a, ,2-h,5-wh,,,,,,,,
K031,A,1-a, ,4-h,3-wh,,,,,,,,
K032,C, ,2-b,4-h,2-wh,,,,,,,,
K034,A, , ,2-h,7-wh,,,,,,,,
K035,A, ,9-b, , ,,,,,,,,
K038,C, ,4-b,3-h,1-wh,,,,,,,,
K039,B, ,1-b,1-h,6-wh,,,,,,,,
K040,A, ,8-b,1-h, ,,,,,,,,
K041,A, ,6-b,3-h, ,,,,,,,,
K044,B, ,8-b, , ,,,,,,,,
K045,B, ,5-b,4-h, ,,,,,,,,
K046,A, ,5-b,4-h, ,,,,,,,,
K048,A,5-a, ,2-h,2-wh,,,,,,,,
K050,C, ,1-b,8-h, ,,,,,,,,
K051,A,1-a,1-b,2-h,4-wh,,,,,,,,
K052,C, ,1-b,1-h,6-wh,,,,,,,,
K054,C, ,5-b,3-h, ,,,,,,,,
K056,A, ,8-b, , ,,,,,,,,
K057,C, ,7-b,2-h, ,,,,,,,,
K058,B, , ,1-h,6-wh,,,,,,,,
K059,C, ,4-b,4-h, ,,,,,,,,
K061,C, ,9-b, , ,,,,,,,,
K062,B,2-a,2-b,3-h, ,,,,,,,,
K065,B, ,1-b,7-h, ,,,,,,,,
K066,B, ,9-b, , ,,,,,,,,
K067,D, ,5-b,3-h, ,,,,,,,,
K068,B, ,9-b, , ,,,,,,,,
K069,A,7-a, ,1-h,1-wh,,,,,,,,
K071,C, ,1-b,8-h, ,JUAN MOREL CAMPOS SECONDARY SCHOOL,7-r,7-m,7-w,,,,
K073,C, ,8-b,1-h, ,,,,,,,,
K075,B, ,1-b,7-h, ,,,,,,,,
K078,C, ,7-b, ,1-wh,,,,,,,,
K081,B, ,6-b,2-h, ,,,,,,,,
K084,B, , ,7-h,1-wh,,,,,,,,
K086,B, , ,9-h, ,,,,,,,,
K088,A,1-a,1-b,5-h, ,,,,,,,,
